NO_OF_FRAMES	720
NO_OF_CAMERAS	7
NO_OF_MARKERS	2
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2014-06-17, 08:53:44	912.56663253
DATA_INCLUDED	3D
MARKER_NAMES	right_knee	right_ankle
Frame	Time	right_knee X	right_knee Y	right_knee Z	right_ankle X	right_ankle Y	right_ankle Z	
265	2.20833	964.727	1545.650	462.866	1128.907	1619.427	117.057
266	2.21667	962.459	1543.379	463.095	1128.508	1619.334	118.128
267	2.22500	960.443	1541.279	463.370	1127.944	1619.078	119.705
268	2.23333	958.165	1539.093	463.736	1127.428	1618.778	120.876
269	2.24167	956.104	1536.359	464.145	1126.729	1618.294	122.180
270	2.25000	953.907	1534.145	464.559	1125.856	1618.208	123.437
271	2.25833	951.454	1531.771	465.005	1124.915	1617.869	124.667
272	2.26667	948.836	1529.566	465.365	1123.933	1617.804	126.840
273	2.27500	946.120	1527.042	465.720	1122.883	1617.526	127.973
274	2.28333	943.120	1524.339	466.487	1122.021	1617.292	130.388
275	2.29167	940.070	1521.445	467.346	1120.227	1616.957	132.021
276	2.30000	936.725	1518.583	468.235	1119.109	1616.799	134.629
277	2.30833	933.036	1515.113	469.114	1117.692	1616.651	137.329
278	2.31667	929.122	1512.098	469.796	1115.248	1615.794	139.797
279	2.32500	924.680	1508.586	471.169	1113.199	1615.215	142.626
280	2.33333	919.582	1504.785	472.653	1110.238	1614.382	145.580
281	2.34167	913.974	1500.471	473.748	1107.335	1613.982	149.329
282	2.35000	907.922	1495.633	474.731	1103.595	1612.825	153.492
283	2.35833	900.937	1490.409	476.015	1099.743	1611.401	157.639
284	2.36667	894.321	1487.964	476.808	1095.074	1609.773	161.998
285	2.37500	886.191	1481.231	477.753	1090.085	1607.690	166.392
286	2.38333	877.215	1474.040	478.318	1084.587	1605.468	171.152
287	2.39167	868.154	1466.937	479.473	1079.197	1603.063	176.949
288	2.40000	858.599	1459.472	480.391	1073.624	1599.996	182.698
289	2.40833	848.435	1451.675	481.151	1068.083	1596.449	188.154
290	2.41667	838.746	1443.851	481.637	1062.848	1592.390	194.424
291	2.42500	828.707	1435.896	482.341	1056.825	1588.192	200.973
292	2.43333	818.495	1427.765	483.376	1052.052	1583.627	209.071
293	2.44167	808.955	1419.187	484.436	1045.992	1577.940	215.483
294	2.45000	798.698	1410.667	485.272	1039.825	1572.213	222.625
295	2.45833	789.244	1402.100	486.421	1033.953	1565.876	229.102
296	2.46667	780.197	1393.275	487.666	1027.991	1559.122	235.505
297	2.47500	770.623	1384.645	488.598	1021.938	1551.540	241.381
298	2.48333	761.910	1376.187	490.481	1016.150	1543.779	247.174
299	2.49167	753.564	1367.651	491.806	1010.102	1535.283	252.288
300	2.50000	745.662	1359.191	493.888	1003.794	1526.555	256.647
301	2.50833	737.204	1350.585	495.185	997.103	1517.361	260.180
302	2.51667	729.360	1341.937	497.357	990.020	1507.907	263.595
303	2.52500	721.369	1333.527	499.020	982.409	1498.458	265.726
304	2.53333	713.582	1324.681	500.972	974.238	1488.546	266.932
305	2.54167	705.814	1316.144	502.337	967.359	1481.334	267.725
306	2.55000	698.095	1307.641	504.243	958.642	1471.130	267.561
307	2.55833	690.471	1299.012	505.375	949.474	1460.778	266.306
308	2.56667	683.071	1290.624	506.923	940.067	1450.536	264.621
309	2.57500	675.082	1282.009	506.623	930.245	1439.987	261.921
310	2.58333	668.052	1274.019	507.130	920.130	1429.773	258.838
311	2.59167	661.619	1266.093	507.656	909.521	1419.547	254.727
312	2.60000	655.021	1258.347	507.748	898.712	1409.142	250.153
313	2.60833	647.497	1247.788	509.413	887.512	1398.655	245.308
314	2.61667	640.634	1239.673	509.764	875.606	1387.722	239.027
315	2.62500	634.437	1232.013	510.208	863.616	1376.973	233.051
316	2.63333	628.027	1224.210	510.340	851.284	1366.179	226.657
317	2.64167	621.841	1216.668	510.549	838.544	1355.122	220.080
318	2.65000	615.516	1208.805	510.608	825.431	1343.739	213.036
319	2.65833	609.410	1201.343	510.442	811.967	1332.265	206.130
320	2.66667	603.459	1194.002	510.138	798.005	1320.454	198.748
321	2.67500	597.698	1186.818	509.993	782.664	1309.124	190.970
